,0,1,2,3,4,5,6,7
"[5.0, 5.0, 35.0, 35.0]",-0.5308772172498992,-0.7623496321001393,-0.7441757467753887,-0.4727744465981887,-0.337050538249805,-0.5027259321180176,-0.319648678236108,4.445514653545414
"[5.0, 45.0, 35.0, 75.0]",-0.3617135522628571,-0.3570119359036194,0.3523182214521945,-0.3728140454051789,-0.36329536936693074,-0.36334398123985967,-0.3633301409201915,-0.3638155563408182
"[5.0, 85.0, 35.0, 115.0]",-0.19681545593962899,-0.20149746769678306,-0.19412751030280512,-0.1980267190112605,-0.19802295800781855,0.12390712347699609,-0.19802295800781855,-0.19594543456613295
"[45.0, 85.0, 75.0, 115.0]",-0.1241719109131181,-0.15468428827697153,1.1299488612714241,-0.14068500566726228,-0.17059039453969588,-0.14888906309942554,-0.13752088044119068,-0.1395149688885921
"[45.0, 125.0, 75.0, 155.0]",-0.09964843374465981,-0.08903256071499926,-0.08509001225934791,-0.09057409548755696,-0.09270481845188162,0.6047015237688396,-0.08963763223285337,-0.09161544454904093
"[85.0, 85.0, 115.0, 115.0]",-0.08163986962562507,-0.06754811882202356,-1.3125418723102171,-0.11008407510035355,0.40002830498562836,-0.1510873513442968,-0.14540237859731203,7.989502854816828
"[85.0, 125.0, 115.0, 155.0]",-0.030181962006642138,-0.0423521123970139,1.4709479245236439,-0.03032921013390165,-0.03206206511565889,-0.29701,-0.03005822629,-0.031464645391
"[45.0, 165.0, 75.0, 195.0]",-0.07031695564920296,-0.06979034965020993,-0.07690119896186919,-0.07048675408550983,-0.07058289953290987,-0.07485796519877727,-0.06960330932204702,-0.06979034965020993
"[5.0, 165.0, 35.0, 195.0]",-0.09043555816660806,-0.08955146685440603,-0.09874068336257681,-0.08964083874125915,-0.0894620942918322,-0.08947142883894964,-0.08964083874125915,-0.08955146685440603
"[5.0, 125.0, 35.0, 155.0]",-0.12273151789021718,-0.11778453931006921,-0.11797729063989523,-0.1192530910186919,-0.11934219505791074,-0.12048777637794257,-0.11934219505791074,-0.11749177584398719
"[85.0, 165.0, 115.0, 195.0]",-0.03519032455615834,-0.029970010000000002,-0.02471817827428448,-0.030147170778100002,-0.03517759550419464,0.8476852361186828,-0.029970010000000002,-0.04563231768445913
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",-0.3535966422967759,0.19134920187451002,-0.3486337890808717,-0.3543590269374875,-0.3624862551982023,-0.3537700310072316,-0.36310322340078466,-0.35046564632842997
"[45.0, 45.0, 75.0, 75.0]",-0.3029840451177888,-0.2764972972413316,-0.28862879254186863,-0.34223668338084157,-0.20023796607702724,-0.3070924235422357,-0.30408549578728866,6.155854307050995
"[85.0, 45.0, 115.0, 75.0]",-0.16052511836118816,1.041042664283959,-0.14393589385991823,-0.14300944328847054,-0.15696726762876306,-0.1469433196217083,-0.14832302828014357,-0.490099501
"[85.0, 5.0, 115.0, 35.0]",-0.19754198967616693,-0.19482929267661916,-0.19283878630278226,-0.19884873166347056,-0.2075509067393488,-0.1980229580078185,0.06314982953408366,-0.19369954101315706
"[125.0, 45.0, 155.0, 75.0]",-0.07024813395317991,-0.199,-0.1,-0.06916717879410673,-0.061170773084192706,-0.05976608673785689,-0.059376673226170386,0.27787493783872896
"[125.0, 165.0, 155.0, 195.0]",0.0,-0.01,0.0,0.0,-0.01,1.654862385499124,0.0,0.0
"[125.0, 5.0, 155.0, 35.0]",-0.11925309101869189,-0.11674856774878548,-0.11769680601977056,-0.12241190918521076,-0.11925543466840544,-0.11933979326897565,-0.12088573234248255,-0.199
"[125.0, 125.0, 155.0, 155.0]",-1.3125418723102171,0.00013306783137970353,9.998543414268859,-0.009319143841009254,0.7768750377945058,0.1803911072421827,-0.0655283147774802,-0.06974645435196584
"[165.0, 5.0, 195.0, 35.0]",-0.07963109795235837,-0.1,-0.07971975334246781,-0.08058330424449658,-0.07972055930055971,-0.07972055930055971,-0.08850851514336698,-0.07972055930055971
"[165.0, 85.0, 195.0, 115.0]",-0.199,4.010439935338387,0.0,-0.1,0.0,0.021580763446843784,0.0,0.0
"[165.0, 165.0, 195.0, 195.0]",0.6793465209301,-0.01,-0.01,-0.0013943867507924047,0.07003388313840743,-0.01,-0.01,-0.01
